index,repository_id
winnipeg_page_clicks,university_winnipeg
iupui_ir_page_clicks,indiana_university_purdue_university_indianapolis
shareok_page_clicks,oklahoma_shareok
calgary_page_clicks,university_calgary
krex_page_clicks,kansas_state_university
u_montana_page_clicks,university_montana
designsafe_ci_page_clicks,tacc_designsafe
uop_pearl_page_clicks,university_plymouth
caltech_thesis_page_clicks,california_tech_thesis
new_mexico_dc_page_clicks,university_new_mexico
ut_austin_page_clicks,university_texas
swarthmore_inst-schol_page_clicks,swarthmore_tricollege_consortium
u_arizona_page_clicks,university_arizona
massey_page_clicks,massey_university
boston_u_page_clicks,boston_university
rutgers_page_clicks,rutgers_university
strathprints_page_clicks,university_strathclyde
epsilon_students_page_clicks,swedish_university_ag_sci_student_projects
md_drum_page_clicks,maryland_drum
univ_kentucky_page_clicks,university_kentucky
epsilon_page_clicks,swedish_university_ag_sci_archive
northeastern_page_clicks,northeastern_university
viurr_page_clicks,vancouver_island_royal_roads_universities
unlv_digital_page_clicks,university_nevada_las_vegas
swarthmore_page_clicks,swarthmore_college
w_cape_etd_page_clicks,university_western_cape_etd
ifpri_rep_page_clicks,international_food_policy_research_inst
ds_pitt_page_clicks,university_pittsburgh
w_cape_repo_page_clicks,university_western_cape_repository
colorado_page_clicks,colorado_wyoming_mtn_scholar
nku_page_clicks,northern_kentucky_university
wollongong_page_clicks,university_wollongong
u_waterloo_page_clicks,university_waterloo
mcmaster_page_clicks,mcmaster_university
shsu_ir_page_clicks,sam_houston_state_university
unlincoln_dc_page_clicks,university_nebraska_lincoln
caltech_authors_page_clicks,california_tech_authors
uni_laval_page_clicks,université_laval
cuhk_repo_page_clicks,chinese_university_hong_kong_digital_repository
cuhk_ds_page_clicks,chinese_university_hong_kong_digital_projects
brock_u_page_clicks,brock_university
montana_page_clicks,montana_state_university
um_page_clicks,university_michigan
va_tech_page_clicks,virginia_tech
md_soar_page_clicks,maryland_soar
