,0,1
0,calgary_page_clicks,university_calgary
1,caltech_thesis_page_clicks,california_tech_thesis
2,ut_austin_page_clicks,university_texas
3,unlv_digital_page_clicks,university_nevada_las_vegas
4,winnipeg_page_clicks,university_winnipeg
5,colorado_page_clicks,colorado_wyoming_mtn_scholar
6,uni_laval_page_clicks,université_laval
7,strathprints_page_clicks,university_strathclyde
8,wollongong_page_clicks,university_wollongong
9,shsu_ir_page_clicks,sam_houston_state_university
10,designsafe_ci_page_clicks,tacc_designsafe
11,univ_kentucky_page_clicks,university_kentucky
12,mcmaster_page_clicks,mcmaster_university
13,caltech_authors_page_clicks,california_tech_authors
14,uop_pearl_page_clicks,university_plymouth
15,brock_u_page_clicks,brock_university
16,cuhk_repo_page_clicks,chinese_university_hong_kong_digital_repository
17,epsilon_students_page_clicks,swedish_university_ag_sci_student_projects
18,md_drum_page_clicks,maryland_drum
19,epsilon_page_clicks,swedish_university_ag_sci_archive
20,massey_page_clicks,massey_university
21,rutgers_page_clicks,rutgers_university
22,u_waterloo_page_clicks,university_waterloo
23,u_montana_page_clicks,university_montana
24,montana_page_clicks,montana_state_university
25,ifpri_rep_page_clicks,international_food_policy_research_inst
26,w_cape_etd_page_clicks,university_western_cape_etd
27,um_page_clicks,university_michigan
28,iupui_ir_page_clicks,indiana_university_purdue_university_indianapolis
29,viurr_page_clicks,vancouver_island_royal_roads_universities
30,swarthmore_page_clicks,swarthmore_college
31,va_tech_page_clicks,virginia_tech
32,ds_pitt_page_clicks,university_pittsburgh
33,unlincoln_dc_page_clicks,university_nebraska_lincoln
34,w_cape_repo_page_clicks,university_western_cape_repository
35,md_soar_page_clicks,maryland_soar
36,cuhk_ds_page_clicks,chinese_university_hong_kong_digital_projects
37,new_mexico_dc_page_clicks,university_new_mexico
38,swarthmore_inst-schol_page_clicks,swarthmore_tricollege_consortium
39,shareok_page_clicks,oklahoma_shareok
40,nku_page_clicks,northern_kentucky_university
41,u_arizona_page_clicks,university_arizona
42,krex_page_clicks,kansas_state_university
43,boston_u_page_clicks,boston_university
44,northeastern_page_clicks,northeastern_university
